"Protocollo","DataOraIncidente","xutm","yutm","NaturaIncidenteNew","InBufTime","InBufSpace","InBuf"
4306701,2019-04-02 18:45:00,791.838603343565,4642.82159627448,"D",0,1,1
4311319,2019-04-02 19:10:00,787.324148459132,4644.45495161601,"D",0,0,0
4306851,2019-04-02 20:50:00,788.071150400857,4645.29717738261,"D",0,0,0
4307279,2019-04-02 21:30:00,788.024680227472,4642.13632384396,"C",0,0,0
4307004,2019-04-02 21:35:00,790.947432665519,4646.82661123745,"C",0,0,0
4308105,2019-04-02 23:40:00,791.135968434617,4643.09725025457,"D",0,0,0
4307349,2019-04-03 00:10:00,789.84612310874,4642.52176305909,"C",0,0,0
4307485,2019-04-03 00:45:00,787.578459574236,4643.92020491096,"D",0,0,0
4309335,2019-04-03 06:44:00,788.446503924736,4647.10324665403,"B",0,0,0
4307459,2019-04-03 07:00:00,790.141125132244,4641.81077006044,"B",0,0,0
4309108,2019-04-03 08:05:00,787.584693373053,4646.84583500573,"C",0,0,0
4308271,2019-04-03 08:10:00,791.026267441372,4645.57331700617,"D",0,0,0
4309352,2019-04-03 08:30:00,788.835101244336,4647.35262952942,"D",0,0,0
4311030,2019-04-03 09:00:00,788.445150888118,4647.13656151858,"B",0,0,0
4307868,2019-04-03 09:30:00,788.982907920933,4644.80011634444,"A",0,0,0
4307931,2019-04-03 09:30:00,788.426545347048,4644.08659368404,"D",0,0,0
4308815,2019-04-03 10:15:00,792.550514712267,4649.32258029067,"B",0,1,1
4308135,2019-04-03 10:20:00,788.25208290509,4642.7454526642,"C",0,0,0
4308206,2019-04-03 10:20:00,790.177258325713,4644.50494708849,"D",0,0,0
4308281,2019-04-03 10:33:00,792.495629722578,4647.62481617725,"D",0,0,0
4307490,2019-04-03 11:40:00,788.858287399934,4641.66958165246,"A",0,1,1
4309378,2019-04-03 12:00:00,791.88087985706,4647.22131343033,"D",0,0,0
4307915,2019-04-03 12:15:00,789.199041817387,4645.55433255921,"C",0,0,0
4308809,2019-04-03 12:35:00,791.813542780873,4649.46554998599,"A",0,1,1
4309091,2019-04-03 13:00:00,786.24805322875,4644.14458597581,"D",0,1,1
4311019,2019-04-03 13:35:00,791.147648996427,4645.04435591208,"D",0,0,0
4307834,2019-04-03 14:30:00,790.056917462687,4640.81735672559,"D",0,1,1
4309363,2019-04-03 14:50:00,786.091221080571,4645.1504549129,"D",0,0,0
4308180,2019-04-03 15:00:00,790.132385812245,4644.44358267982,"D",0,0,0
4307826,2019-04-03 15:10:00,790.151917308143,4641.40498482477,"C",0,0,0
4308854,2019-04-03 15:45:00,790.07788985934,4642.34211392975,"D",0,0,0
4308990,2019-04-03 16:10:00,788.385780322092,4648.80264300103,"D",0,1,1
4308908,2019-04-03 16:40:00,793.006344939833,4648.73601766605,"D",0,1,1
4308820,2019-04-03 17:20:00,791.179130937208,4643.8809603753,"A",0,0,0
4309177,2019-04-03 17:30:00,787.211346144796,4648.47694865657,"B",0,1,1
4308885,2019-04-03 17:35:00,790.5772911242,4645.37696617068,"D",0,0,0
4309451,2019-04-03 17:40:00,791.986321429938,4648.29353163636,"D",0,0,0
4311789,2019-04-03 18:00:00,789.982907197289,4644.87437817582,"D",0,0,0
4309458,2019-04-03 18:05:00,788.996219062366,4648.03302647468,"C",0,0,0
4308902,2019-04-03 20:20:00,788.722632349647,4644.60060484749,"A",0,0,0
4309448,2019-04-03 20:40:00,791.541109583253,4647.80803871233,"D",0,0,0
4310980,2019-04-03 20:45:00,791.909012628583,4646.13234167323,"A",0,0,0
4309213,2019-04-03 23:20:00,787.718479309083,4645.7453672979,"D",0,0,0
4311059,2019-04-03 23:30:00,791.908384078683,4644.26964882915,"C",0,0,0
4308940,2019-04-04 00:01:00,791.4614327924,4648.93938834277,"B",0,0,0
4308776,2019-04-04 02:30:00,793.282459575968,4643.25219521648,"B",0,1,1
4308951,2019-04-04 03:50:00,788.764322365092,4643.23034654163,"B",0,0,0
4309725,2019-04-04 07:15:00,786.163729321689,4646.03208454962,"D",0,0,0
4309361,2019-04-04 07:40:00,789.580169643135,4645.58097787316,"D",0,0,0
4308883,2019-04-04 08:00:00,793.488221006739,4643.90587123763,"D",0,1,1
4309036,2019-04-04 08:05:00,790.628345923217,4643.72164917771,"D",0,0,0
4310772,2019-04-04 08:20:00,793.53255315598,4646.65531853132,"D",0,1,1
4309499,2019-04-04 08:30:00,788.268285677988,4643.59881931957,"D",0,0,0
4310889,2019-04-04 09:20:00,792.598112908204,4648.36321456657,"D",0,1,1
4309294,2019-04-04 10:00:00,789.570093323564,4641.54279161252,"D",0,0,0
4312053,2019-04-04 10:35:00,790.457725171402,4645.04949613865,"D",0,0,0
4309511,2019-04-04 10:45:00,787.092522010554,4643.81158096947,"B",0,0,0
4310776,2019-04-04 10:45:00,793.142490794608,4645.63805803369,"D",0,1,1
4316160,2019-04-04 10:45:00,787.987643130305,4642.43514785072,"C",0,1,1
4310714,2019-04-04 11:00:00,787.311723813845,4646.20077142099,"C",0,0,0
4310823,2019-04-04 11:10:00,793.593688360951,4645.7790501286,"B",0,1,1
4311072,2019-04-04 12:00:00,792.896204621731,4644.96046998103,"C",0,0,0
4311726,2019-04-04 12:15:00,790.722609008404,4643.91869623659,"D",0,0,0
4310697,2019-04-04 13:00:00,788.518254543412,4641.44444398418,"D",0,1,1
4311665,2019-04-04 13:05:00,790.25382332122,4644.75195524181,"A",0,0,0
